"Linha_Original";"Municipio";"Cod_Municipio";"POP_TOT";"POP_URB";"Ano_Ref";"Cod_Prestador";"Prestador";"Tipo_Serv";"Nat_Jur";"AG001";"ES001";"FN001";"FN002";"FN003";"FN006";"FN023";"FN024";"Deflator_PIB_Acum"
TRUE;"Acegua";"430003";NA;NA;2016;"43000311";"Prefeitura Municipal de Acegua";"Esgoto";"Administracao publica direta";NA;NA;0;NA;0;0;NA;NA;1,31882112389926
TRUE;"Acegua";"430003";NA;NA;2018;"43000311";"Prefeitura Municipal de Acegua";"Esgoto";"Administracao publica direta";NA;580;0;NA;0;0;NA;NA;1,21741199776024
TRUE;"Acegua";"430003";NA;NA;2019;"43000311";"Prefeitura Municipal de Acegua";"Esgoto";"Administracao publica direta";NA;640;0;NA;0;0;NA;NA;1,16806970945097
TRUE;"Agua Santa";"430005";NA;NA;2010;"43000511";"Prefeitura Municipal de Agua Santa";"Esgoto";"Administracao publica direta";NA;NA;1974,95500648017;NA;1974,95500648017;1974,95500648017;0;0;2,07890000682123
TRUE;"Alegria";"430045";NA;NA;2009;"43004511";"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;0;0;2,25401278806291
TRUE;"Alegria";"430045";NA;NA;2010;"43004511";"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,07890000682123
TRUE;"Alegria";"430045";NA;NA;2012;"43004511";"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,77801573043844
TRUE;"Alegria";"430045";NA;NA;2013;"43004511";"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,65389789557186
TRUE;"Alegria";"430045";NA;NA;2014;"43004511";"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,5335636103439
TRUE;"Alegria";"430045";NA;NA;2015;"43004511";"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,4256931699566
TRUE;"Alegria";"430045";NA;NA;2018;"43004511";"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,21741199776024
TRUE;"Alegria";"430045";NA;NA;2019;"43004511";"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,16806970945097
TRUE;"Alegria";"430045";NA;NA;2020;"43004511";"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,1109637043
TRUE;"Almirante Tamandare do Sul";"430047";NA;846;2016;"43004711";"Prefeitura Municipal de Almirante Tamandare do Sul";"Agua";"Administracao publica direta";NA;NA;0;0;NA;0;NA;NA;1,31882112389926
TRUE;"Almirante Tamandare do Sul";"430047";NA;844;2017;"43004711";"Prefeitura Municipal de Almirante Tamandare do Sul";"Agua";"Administracao publica direta";NA;NA;0;0;NA;0;NA;NA;1,27211682384148
TRUE;"Almirante Tamandare do Sul";"430047";NA;803;2018;"43004711";"Prefeitura Municipal de Almirante Tamandare do Sul";"Agua";"Administracao publica direta";NA;NA;0;0;NA;0;NA;NA;1,21741199776024
TRUE;"Almirante Tamandare do Sul";"430047";NA;797;2019;"43004711";"Prefeitura Municipal de Almirante Tamandare do Sul";"Agua";"Administracao publica direta";NA;NA;0;0;NA;0;NA;NA;1,16806970945097
TRUE;"Almirante Tamandare do Sul";"430047";NA;791;2020;"43004711";"Prefeitura Municipal de Almirante Tamandare do Sul";"Agua";"Administracao publica direta";NA;NA;0;0;NA;0;NA;NA;1,1109637043
TRUE;"Alto Feliz";"430057";NA;721;2006;"43005711";"Prefeitura Municipal de Alto Feliz";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,80062449367622
TRUE;"Alto Feliz";"430057";NA;775;2008;"43005711";"Prefeitura Municipal de Alto Feliz";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,41885962441053
TRUE;"Alto Feliz";"430057";NA;780;2009;"43005711";"Prefeitura Municipal de Alto Feliz";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,25401278806291
TRUE;"Alto Feliz";"430057";NA;820;2012;"43005711";"Prefeitura Municipal de Alto Feliz";"Agua e Esgoto";"Administracao publica direta";NA;820;NA;NA;0;NA;NA;NA;1,77801573043844
TRUE;"Alto Feliz";"430057";NA;844;2014;"43005711";"Prefeitura Municipal de Alto Feliz";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,5335636103439
TRUE;"Alto Feliz";"430057";NA;846;2015;"43005711";"Prefeitura Municipal de Alto Feliz";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,4256931699566
TRUE;"Alto Feliz";"430057";NA;848;2016;"43005711";"Prefeitura Municipal de Alto Feliz";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,31882112389926
TRUE;"Alto Feliz";"430057";NA;845;2018;"43005711";"Prefeitura Municipal de Alto Feliz";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,21741199776024
TRUE;"Alto Feliz";"430057";NA;847;2019;"43005711";"Prefeitura Municipal de Alto Feliz";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,16806970945097
TRUE;"Alto Feliz";"430057";NA;849;2020;"43005711";"Prefeitura Municipal de Alto Feliz";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,1109637043
TRUE;"Andre da Rocha";"430066";NA;530;2016;"43006611";"Prefeitura Municipal de Andre da Rocha";"Agua";"Administracao publica direta";856;NA;NA;NA;NA;NA;NA;NA;1,31882112389926
TRUE;"Andre da Rocha";"430066";NA;533;2017;"43006611";"Prefeitura Municipal de Andre da Rocha";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,27211682384148
TRUE;"Andre da Rocha";"430066";NA;540;2018;"43006611";"Prefeitura Municipal de Andre da Rocha";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,21741199776024
TRUE;"Andre da Rocha";"430066";NA;544;2019;"43006611";"Prefeitura Municipal de Andre da Rocha";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,16806970945097
TRUE;"Andre da Rocha";"430066";NA;548;2020;"43006611";"Prefeitura Municipal de Andre da Rocha";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,1109637043
TRUE;"Anta Gorda";"430070";NA;NA;2000;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;4,69301494272335
TRUE;"Anta Gorda";"430070";NA;NA;2001;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;4,3363463643843
TRUE;"Anta Gorda";"430070";NA;NA;2002;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua e Esgoto";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;3,94938152956833
TRUE;"Anta Gorda";"430070";NA;NA;2003;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua e Esgoto";"Administracao publica direta";NA;NA;NA;NA;0;NA;NA;0;3,46160589729653
TRUE;"Anta Gorda";"430070";NA;NA;2004;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;3,21256584135204
TRUE;"Anta Gorda";"430070";NA;NA;2005;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;2,9903464739217
TRUE;"Anta Gorda";"430070";NA;NA;2006;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,80062449367622
TRUE;"Anta Gorda";"430070";NA;NA;2007;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,63120049181058
TRUE;"Anta Gorda";"430070";NA;NA;2008;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,41885962441053
TRUE;"Anta Gorda";"430070";NA;NA;2009;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,25401278806291
TRUE;"Anta Gorda";"430070";NA;NA;2010;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,07890000682123
TRUE;"Anta Gorda";"430070";NA;NA;2012;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,77801573043844
TRUE;"Anta Gorda";"430070";NA;NA;2013;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,65389789557186
TRUE;"Anta Gorda";"430070";NA;NA;2014;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,5335636103439
TRUE;"Anta Gorda";"430070";NA;NA;2015;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,4256931699566
TRUE;"Anta Gorda";"430070";NA;NA;2016;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,31882112389926
TRUE;"Anta Gorda";"430070";NA;NA;2017;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,27211682384148
TRUE;"Anta Gorda";"430070";NA;NA;2018;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,21741199776024
TRUE;"Anta Gorda";"430070";NA;NA;2019;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,16806970945097
TRUE;"Anta Gorda";"430070";NA;NA;2020;"43007011";"Prefeitura Municipal de Anta Gorda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,1109637043
TRUE;"Antonio Prado";"430080";NA;NA;2019;"43008011";"Prefeitura Municipal de Antonio Prado";"Esgoto";"Administracao publica direta";NA;NA;0;NA;0;0;NA;NA;1,16806970945097
TRUE;"Ararica";"430087";NA;NA;2005;"43008711";"Prefeitura Municipal de Ararica";"Esgoto";"Administracao publica direta";NA;NA;NA;NA;0;0;0;0;2,9903464739217
TRUE;"Ararica";"430087";NA;NA;2009;"43008711";"Prefeitura Municipal de Ararica";"Esgoto";"Administracao publica direta";NA;NA;0;NA;0;NA;0;0;2,25401278806291
TRUE;"Ararica";"430087";NA;NA;2011;"43008711";"Prefeitura Municipal de Ararica";"Esgoto";"Administracao publica direta";NA;NA;0;NA;0;0;NA;NA;1,91924577695589
TRUE;"Ararica";"430087";NA;NA;2012;"43008711";"Prefeitura Municipal de Ararica";"Esgoto";"Administracao publica direta";NA;NA;0;NA;0;0;NA;NA;1,77801573043844
TRUE;"Ararica";"430087";NA;NA;2013;"43008711";"Prefeitura Municipal de Ararica";"Esgoto";"Administracao publica direta";NA;NA;0;NA;0;1,65389789557186;NA;NA;1,65389789557186
TRUE;"Arroio do Padre";"430107";NA;488;2009;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";530;NA;NA;NA;NA;NA;NA;0;2,25401278806291
TRUE;"Arroio do Padre";"430107";NA;454;2010;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";515;NA;NA;NA;NA;NA;0;0;2,07890000682123
TRUE;"Arroio do Padre";"430107";NA;456;2011;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";640;NA;NA;NA;NA;NA;NA;NA;1,91924577695589
TRUE;"Arroio do Padre";"430107";NA;458;2012;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";404;NA;NA;NA;NA;NA;NA;NA;1,77801573043844
TRUE;"Arroio do Padre";"430107";NA;475;2013;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";424;NA;NA;NA;NA;NA;NA;NA;1,65389789557186
TRUE;"Arroio do Padre";"430107";NA;477;2014;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";473;NA;NA;NA;NA;NA;NA;NA;1,5335636103439
TRUE;"Arroio do Padre";"430107";NA;479;2015;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";553;NA;NA;NA;NA;NA;NA;NA;1,4256931699566
TRUE;"Arroio do Padre";"430107";NA;481;2016;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";560;NA;NA;NA;NA;NA;NA;NA;1,31882112389926
TRUE;"Arroio do Padre";"430107";NA;483;2017;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";569;NA;NA;NA;NA;NA;NA;NA;1,27211682384148
TRUE;"Arroio do Padre";"430107";NA;486;2018;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";571;NA;NA;NA;NA;NA;NA;NA;1,21741199776024
TRUE;"Arroio do Padre";"430107";NA;488;2019;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";675;NA;NA;NA;NA;NA;NA;NA;1,16806970945097
TRUE;"Arroio do Padre";"430107";NA;491;2020;"43010711";"Prefeitura Municipal de Arroio do Padre";"Agua";"Administracao publica direta";821;NA;NA;NA;NA;NA;NA;NA;1,1109637043
TRUE;"Arroio dos Ratos";"430110";NA;NA;2009;"43011011";"Prefeitura Municipal de Arroio dos Ratos";"Esgoto";"Administracao publica direta";NA;840;0;NA;0;0;0;0;2,25401278806291
TRUE;"Arroio dos Ratos";"430110";NA;NA;2011;"43011011";"Prefeitura Municipal de Arroio dos Ratos";"Esgoto";"Administracao publica direta";NA;NA;0;NA;0;0;NA;NA;1,91924577695589
TRUE;"Augusto Pestana";"430150";NA;NA;2009;"43015011";"Prefeitura Municipal de Augusto Pestana";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;2,25401278806291
TRUE;"Augusto Pestana";"430150";NA;NA;2010;"43015011";"Prefeitura Municipal de Augusto Pestana";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;2,07890000682123
TRUE;"Augusto Pestana";"430150";NA;NA;2012;"43015011";"Prefeitura Municipal de Augusto Pestana";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,77801573043844
TRUE;"Augusto Pestana";"430150";NA;NA;2013;"43015011";"Prefeitura Municipal de Augusto Pestana";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,65389789557186
TRUE;"Augusto Pestana";"430150";NA;NA;2014;"43015011";"Prefeitura Municipal de Augusto Pestana";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,5335636103439
TRUE;"Augusto Pestana";"430150";NA;NA;2015;"43015011";"Prefeitura Municipal de Augusto Pestana";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,4256931699566
TRUE;"Augusto Pestana";"430150";NA;NA;2018;"43015011";"Prefeitura Municipal de Augusto Pestana";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,21741199776024
TRUE;"Augusto Pestana";"430150";NA;NA;2019;"43015011";"Prefeitura Municipal de Augusto Pestana";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,16806970945097
TRUE;"Augusto Pestana";"430150";NA;NA;2020;"43015011";"Prefeitura Municipal de Augusto Pestana";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,1109637043
TRUE;"Bage";"430160";NA;NA;1998;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;0;NA;NA;NA;5,35311752634561
TRUE;"Bage";"430160";NA;NA;1999;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;NA;4,95610841805244
TRUE;"Bage";"430160";NA;NA;2002;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;0;3,94938152956833
TRUE;"Bage";"430160";NA;NA;2003;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;0;3,46160589729653
TRUE;"Bage";"430160";NA;NA;2004;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;0;3,21256584135204
TRUE;"Bage";"430160";NA;NA;2005;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;NA;2,9903464739217
TRUE;"Bage";"430160";NA;NA;2006;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;0;NA;2,80062449367622
TRUE;"Bage";"430160";NA;NA;2007;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;0;NA;2,63120049181058
TRUE;"Bage";"430160";NA;NA;2008;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;NA;2,41885962441053
TRUE;"Bage";"430160";NA;NA;2009;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;NA;2,25401278806291
TRUE;"Bage";"430160";NA;NA;2010;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;0;NA;2,07890000682123
TRUE;"Bage";"430160";NA;NA;2011;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;NA;1,91924577695589
TRUE;"Bage";"430160";NA;NA;2012;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;0;NA;1,77801573043844
TRUE;"Bage";"430160";NA;NA;2013;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;NA;1,65389789557186
TRUE;"Bage";"430160";NA;NA;2014;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;0;NA;1,5335636103439
TRUE;"Bage";"430160";NA;NA;2015;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;0;NA;1,4256931699566
TRUE;"Bage";"430160";NA;NA;2016;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;0;NA;1,31882112389926
TRUE;"Bage";"430160";NA;NA;2017;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;0;NA;1,27211682384148
TRUE;"Bage";"430160";NA;NA;2018;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;NA;1,21741199776024
TRUE;"Bage";"430160";NA;NA;2019;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;NA;1,16806970945097
TRUE;"Bage";"430160";NA;NA;2020;"43016011";"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";NA;NA;NA;NA;NA;NA;NA;0;1,1109637043
TRUE;"Barao";"430165";NA;NA;2016;"43016511";"Prefeitura Municipal de Barao";"Esgoto";"Administracao publica direta";NA;NA;0;NA;0;0;NA;NA;1,31882112389926
TRUE;"Barao";"430165";NA;NA;2019;"43016511";"Prefeitura Municipal de Barao";"Esgoto";"Administracao publica direta";NA;NA;0;NA;0;0;NA;NA;1,16806970945097
TRUE;"Barao";"430165";NA;NA;2020;"43016511";"Prefeitura Municipal de Barao";"Esgoto";"Administracao publica direta";NA;NA;0;NA;0;0;NA;NA;1,1109637043
TRUE;"Barra Funda";"430195";NA;NA;2008;"43019511";"Prefeitura Municipal de Barra Funda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;2,41885962441053
TRUE;"Barra Funda";"430195";NA;NA;2009;"43019511";"Prefeitura Municipal de Barra Funda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;0;NA;2,25401278806291
TRUE;"Barra Funda";"430195";NA;NA;2010;"43019511";"Prefeitura Municipal de Barra Funda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,07890000682123
TRUE;"Barra Funda";"430195";NA;NA;2013;"43019511";"Prefeitura Municipal de Barra Funda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,65389789557186
TRUE;"Barra Funda";"430195";NA;NA;2014;"43019511";"Prefeitura Municipal de Barra Funda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,5335636103439
TRUE;"Barra Funda";"430195";NA;NA;2015;"43019511";"Prefeitura Municipal de Barra Funda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,4256931699566
TRUE;"Barra Funda";"430195";NA;NA;2016;"43019511";"Prefeitura Municipal de Barra Funda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,31882112389926
TRUE;"Barra Funda";"430195";NA;NA;2017;"43019511";"Prefeitura Municipal de Barra Funda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,27211682384148
TRUE;"Barra Funda";"430195";NA;NA;2018;"43019511";"Prefeitura Municipal de Barra Funda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,21741199776024
TRUE;"Barra Funda";"430195";NA;NA;2019;"43019511";"Prefeitura Municipal de Barra Funda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,16806970945097
TRUE;"Barra Funda";"430195";NA;NA;2020;"43019511";"Prefeitura Municipal de Barra Funda";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,1109637043
TRUE;"Barra do Rio Azul";"430192";NA;374;2009;"43019211";"Prefeitura Municipal de Barra do Rio Azul";"Agua";"Administracao publica direta";374;NA;NA;NA;NA;NA;NA;NA;2,25401278806291
TRUE;"Barra do Rio Azul";"430192";NA;403;2010;"43019211";"Prefeitura Municipal de Barra do Rio Azul";"Agua";"Administracao publica direta";403;NA;NA;NA;NA;NA;0;0;2,07890000682123
TRUE;"Barra do Rio Azul";"430192";NA;397;2011;"43019211";"Prefeitura Municipal de Barra do Rio Azul";"Agua";"Administracao publica direta";380;NA;NA;NA;NA;NA;NA;NA;1,91924577695589
TRUE;"Barra do Rio Azul";"430192";NA;391;2012;"43019211";"Prefeitura Municipal de Barra do Rio Azul";"Agua";"Administracao publica direta";380;NA;NA;NA;NA;NA;NA;NA;1,77801573043844
TRUE;"Barra do Rio Azul";"430192";NA;401;2013;"43019211";"Prefeitura Municipal de Barra do Rio Azul";"Agua";"Administracao publica direta";395;NA;NA;NA;NA;NA;NA;NA;1,65389789557186
TRUE;"Barra do Rio Azul";"430192";NA;397;2014;"43019211";"Prefeitura Municipal de Barra do Rio Azul";"Agua";"Administracao publica direta";650;NA;NA;NA;NA;NA;NA;NA;1,5335636103439
TRUE;"Barra do Rio Azul";"430192";NA;389;2016;"43019211";"Prefeitura Municipal de Barra do Rio Azul";"Agua";"Administracao publica direta";850;NA;NA;NA;NA;NA;NA;NA;1,31882112389926
TRUE;"Barra do Rio Azul";"430192";NA;385;2017;"43019211";"Prefeitura Municipal de Barra do Rio Azul";"Agua";"Administracao publica direta";860;NA;NA;NA;NA;NA;NA;NA;1,27211682384148
TRUE;"Barra do Rio Azul";"430192";NA;347;2018;"43019211";"Prefeitura Municipal de Barra do Rio Azul";"Agua";"Administracao publica direta";700;NA;NA;NA;NA;NA;NA;NA;1,21741199776024
TRUE;"Barra do Rio Azul";"430192";NA;340;2019;"43019211";"Prefeitura Municipal de Barra do Rio Azul";"Agua";"Administracao publica direta";710;NA;NA;NA;NA;NA;NA;NA;1,16806970945097
TRUE;"Barra do Rio Azul";"430192";NA;333;2020;"43019211";"Prefeitura Municipal de Barra do Rio Azul";"Agua";"Administracao publica direta";710;NA;NA;NA;NA;NA;NA;NA;1,1109637043
TRUE;"Boa Vista das Missoes";"430215";NA;699;2009;"43021511";"Prefeitura Municipal de Boa Vista das Missoes";"Agua e Esgoto";"Administracao publica direta";NA;548;NA;NA;0;NA;0;0;2,25401278806291
TRUE;"Boa Vista das Missoes";"430215";NA;886;2010;"43021511";"Prefeitura Municipal de Boa Vista das Missoes";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,07890000682123
TRUE;"Boa Vista das Missoes";"430215";NA;911;2013;"43021511";"Prefeitura Municipal de Boa Vista das Missoes";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,65389789557186
TRUE;"Boa Vista das Missoes";"430215";NA;910;2014;"43021511";"Prefeitura Municipal de Boa Vista das Missoes";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,5335636103439
TRUE;"Boa Vista das Missoes";"430215";NA;908;2017;"43021511";"Prefeitura Municipal de Boa Vista das Missoes";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,27211682384148
TRUE;"Boa Vista das Missoes";"430215";NA;882;2018;"43021511";"Prefeitura Municipal de Boa Vista das Missoes";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,21741199776024
TRUE;"Boa Vista das Missoes";"430215";NA;877;2020;"43021511";"Prefeitura Municipal de Boa Vista das Missoes";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,1109637043
TRUE;"Boa Vista do Cadeado";"430222";NA;472;2010;"43022211";"Prefeitura Municipal de Boa Vista do Cadeado";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;0;2,07890000682123
TRUE;"Boa Vista do Cadeado";"430222";NA;472;2011;"43022211";"Prefeitura Municipal de Boa Vista do Cadeado";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,91924577695589
TRUE;"Boa Vista do Cadeado";"430222";NA;471;2012;"43022211";"Prefeitura Municipal de Boa Vista do Cadeado";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,77801573043844
TRUE;"Boa Vista do Cadeado";"430222";NA;487;2013;"43022211";"Prefeitura Municipal de Boa Vista do Cadeado";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,65389789557186
TRUE;"Boa Vista do Cadeado";"430222";NA;488;2014;"43022211";"Prefeitura Municipal de Boa Vista do Cadeado";"Agua";"Administracao publica direta";NA;NA;NA;NA;NA;NA;NA;NA;1,5335636103439
